ə
eɪ
eɪ z
eɪ
eɪ z
eɪ z
aɪ b z
t ɹ æ
b ɪ ŋ
t ɹ æ
ɪ p t
t ɹ æ
ʃ ə n
t ɹ æ
ə n z
t ɹ æ
p t s
t ɹ æ
s ə ɹ
t ɹ æ
ə ɹ z
t ɹ æ
ɛ k t
t ɹ æ
t ɪ d
t ɹ æ
ʃ ə n
t ɹ æ
f ɛ ɹ
t ɹ æ
f ə ɹ
t ɹ æ
ɪ t iː
t ɹ æ
b ə l
t ɹ æ
ɛ ɹ d
t ɹ æ
ə n s
t ɹ æ
ɹ ɪ ŋ
t ɹ æ
b ə l
t ɹ æ
ɛ ɹ d
t ɹ æ
ə ɹ d
t ɹ æ
ɹ ɪ ŋ
t ɹ æ
ɛ ɹ z
t ɹ æ
ə ɹ z
t ɹ æ
ɪ k s
t ɹ æ
k s t
t ɹ æ
ɔː ɹ m
t ɹ æ
ɔː ɹ m
t ɹ æ
ʃ ə n
t ɹ æ
n ə l
t ɹ æ
ə n z
t ɹ æ
ɹ m d
t ɹ æ
m ə ɹ
t ɹ æ
ə ɹ z
t ɹ æ
m ɪ ŋ
t ɹ æ
ɹ m z
t ɹ æ
j uː z
t ɹ æ
uː z d
t ɹ æ
ʒ ə n
t ɹ æ
ə n z
t ɹ æ
d ə ɹ
t ɹ æ
n ɪ k
t ɹ æ
ɹ ɛ s
t ɹ æ
ɛ s t
t ɹ æ
s ɪ s
t ɹ æ
s ɪ ŋ
t ɹ æ
ʃ ə n
t ɹ æ
ə n z
t ɹ æ
s ə ɹ
t ɹ æ
ə n s
t ɹ æ
ə n t
t ɹ æ
n t s
t ɹ æ
ʃ ə n
t ɹ æ
m ɪ dʒ
t ɹ æ
t ə ɹ
t ɹ æ
ə ɹ z
t ɹ æ
z ɪ t
t ɹ æ
t ɪ d
t ɹ æ
t ɪ ŋ
t ɹ æ
ʃ ə n
t ɹ æ
n ə l
t ɹ æ
n ə l
t ɹ æ
n ɪ ŋ
t ɹ æ
ə n z
t ɹ æ
ɔː ɹ iː
t ɹ æ
ɪ t s
t ɹ æ
z k eɪ
t ɹ æ
l eɪ t
t ɹ æ
l eɪ t
t ɹ æ
t ə d
t ɹ æ
t ɪ d
t ɹ æ
eɪ t s
t ɹ æ
eɪ t s
t ɹ æ
t ɪ ŋ
t ɹ æ
t ɪ ŋ
t ɹ æ
ʃ ə n
t ɹ æ
ʃ ə n
t ɹ æ
ə n z
t ɹ æ
ə n z
t ɹ æ
t ə ɹ
t ɹ æ
t ə ɹ
t ɹ æ
ə ɹ z
t ɹ æ
ə ɹ z
t ɹ æ
dʒ ɪ k
t ɹ æ
ə n t
t ɹ æ
ɑː ɹ k
t ɹ æ
d iː ə
t ɹ æ
ʃ ə n
t ɹ æ
ʃ ə n
t ɹ æ
ə n z
t ɹ æ
m ɪ t
t ɹ æ
ɪ t s
t ɹ æ
b ə l
t ɹ æ
t ə l
t ɹ æ
t ɪ d
t ɹ æ
t ə d
t ɹ æ
t ə ɹ
t ɹ æ
ə ɹ z
t ɹ æ
ə ɹ z
t ɹ æ
t ɪ ŋ
t ɹ æ
n ə l
t ɹ æ
n ɪ k
t ɹ æ
h aɪ oʊ
t ɹ æ
s ə m
t ɹ æ
ə m z
t ɹ æ
n z uː
t ɹ æ
p æ k
t ɹ æ
f ɪ k
t ɹ æ
s iː z
t ɹ æ
n s iː
t ɹ æ
ə n t
t ɹ æ
t l iː
t ɹ æ
ɑː ɹ k
t ɹ æ
aɪ ə ɹ
t ɹ æ
ə ɹ d
t ɹ æ
ə ɹ z
t ɹ æ
ɹ ɪ ŋ
t ɹ æ
æ n t
t ɹ æ
ʃ ə n
t ɹ æ
t ɪ d
t ɹ æ
t ɪ ŋ
t ɹ æ
n t s
t ɹ æ
d ə ɹ
t ɹ æ
ə ɹ z
t ɹ æ
ɔː ɹ t
t ɹ æ
ɔː ɹ t
t ɹ æ
b ə l
t ɹ æ
ʃ ə n
t ɹ æ
ə n z
t ɹ æ
t ə d
t ɹ æ
t ə ɹ
t ɹ æ
ə ɹ z
t ɹ æ
t ɪ ŋ
t ɹ æ
ɹ t s
t ɹ æ
ɹ t s
t ɹ æ
p oʊ z
t ɹ æ
oʊ z d
t ɹ æ
ʃ ə l
t ɹ æ
p ɪ d
t ɹ æ
uː ə l
t ɹ æ
ə l z
t ɹ æ
t ɑː ɹ
t ɹ æ
ə dʒ iː
t ɹ æ
t ə ɹ
t ɹ æ
n z uː
t ɹ æ
v ɑː l
t ɹ æ
ɛ ɹ s
t ɹ æ
t aɪ t
t ɹ æ
aɪ t s
t ɹ æ
z w eɪ
t ɹ æ
ə ɹ n
t ɹ æ
ɹ l d
t ɹ æ
n iː ə
t ɹ æ
n j ə
t ɹ æ
æ n t
t ɹ æ
t ə ɹ
t ɹ æ
θ ə m
t ɹ æ
n ə m
t ɹ æ
n ɪ k
t ɹ æ
ɹ æ p
t ɹ ɑː
ɑː n iː
t ɹ ɑː
ɑː s oʊ
t ɹ ə
ɛ l oʊ
t ɹ ə
p iː z
t ɹ æ
ɡ ə n
t ɹ æ
n ə l
t ɹ æ
ɹ æ p
t ɹ æ
ɹ æ p
t ɹ æ
æ p t
t ɹ æ
p ə ɹ
t ɹ æ
ə ɹ z
t ɹ æ
p ɪ ŋ
t ɹ æ
ɪ ŋ z
t ɹ æ
ɪ s t
t ɹ æ
æ p s
t ɹ æ
ɹ æ ʃ
t ɹ æ
æ ʃ t
t ɹ æ
ʃ ɪ z
t ɹ æ
ʃ ɪ ŋ
t ɹ æ
æ ʃ iː
t ɹ æ
æ s k
t ɹ ɔː
ɹ ɔː b
t ɹ ɔː
ɔː d t
t ɹ aʊ
ɡ ə ɹ
t ɹ ɔː
t ɹ ɔː
b ə ɹ
t ɹ aʊ
ɡ ə t
t ɹ ɔː
ɹ ɔː m
t ɹ ɔː
ɔː m ə
t ɹ ɔː
m ə z
t ɹ ɔː
t ɪ k
t ɹ ɔː
t aɪ z
t ɹ ɔː
aɪ z d
t ɹ aʊ
ɹ aʊ ʃ
t ɹ ɔː
ɹ ɔː t
t ɹ ɔː
ɹ ɔː θ
t ɹ aʊ
m ə n
t ɹ aʊ
m ə n
t ɹ aʊ
n ə ɹ
t ɹ aʊ
w aɪ n
t ɹ ɑː
iː n iː
t ɹ ə
v eɪ l
t ɹ ə
eɪ l z
t ɹ æ
v ə l
t ɹ æ
l d eɪ
t ɹ æ
d eɪ z
t ɹ æ
ə l d
t ɹ æ
l ə ɹ
t ɹ æ
l ə ɹ
t ɹ æ
ə ɹ z
t ɹ æ
ə ɹ z
t ɹ æ
ə ɹ z
t ɹ æ
ə ɹ z
t ɹ æ
ɡ eɪ t
t ɹ æ
l ɪ ŋ
t ɹ æ
l ɪ ŋ
t ɹ æ
ə l d
t ɹ æ
l ə ɹ
t ɹ æ
ə ɹ z
t ɹ æ
l ɪ ŋ
t ɹ æ
l ɪ ŋ
t ɹ æ
l ɑː dʒ
t ɹ æ
l ɔː ɡ
t ɹ æ
ə l z
t ɹ æ
t ɛ d
t ɹ æ
n ə l
t ɹ eɪ
v ə ɹ
t ɹ æ
ə ɹ z
t ɹ æ
ə ɹ s
t ɹ ə
ɛ ɹ s
t ɹ æ
ɹ s t
t ɹ ə
ɹ s t
t ɹ ə
s ɪ ŋ
t ɹ ɑː
ɹ s oʊ
t ɹ æ
t iː z
t ɹ æ
s t iː
t ɹ ɑː
ɑː t ə
t ɹ ɑː
iː s oʊ
t ɹ æ
v ɪ s
t ɹ æ
ɑː n oʊ
t ɹ æ
n ɪ k
t ɹ ə
l t ə
t ɹ ə
t ə z
t ɹ ə
t ə z
t ɹ ɔː
ɔː iː k
t ɹ ɔː
ɔː ɪ k
t ɹ ɔː
l ə ɹ
t ɹ ɔː
ə ɹ z
t ɹ æ
æ k s
t ɹ æ
l ə ɹ
t ɹ eɪ
t ɹ eɪ
eɪ ə ɹ
t ɹ eɪ
l ə ɹ
t ɹ eɪ
h ə m
t ɹ eɪ
n ə ɹ
t ɹ eɪ
ɹ eɪ z
t ɹ eɪ
w ɪ k
t ə ɹ
v ɪ tʃ
t ɹ eɪ
t ɹ ɛ
ɹ ə s
t ɹ ɛ
ə ɹ iː
t ɹ eɪ
eɪ s iː
t ɹ ɛ
ɹ ɛ d
t ɹ ɛ
ə w eɪ
t ɹ ɛ
d ɪ ŋ
t ɹ ɛ
m ɪ l
t ɹ ɛ
ɪ l z
t ɹ ɛ
ɛ d z
t ɹ ɛ
d w eɪ
t ɹ ɛ
w ɛ l
t ɹ ɛ
w iː l
t ɹ iː
n ə ɹ
t ɹ iː
ɹ iː z
t ɹ iː
z ə n
t ɹ iː
t ə ɹ
t ɹ ɛ
ʒ ə ɹ
t ɹ ɛ
ə ɹ d
t ɹ ɛ
ɹ ə ɹ
t ɹ ɛ
ə ɹ z
t ɹ ɛ
ə ɹ z
t ɹ ɛ
ə ɹ z
t ɹ ɛ
ɹ iː z
t ɹ ɛ
ə ɹ iː
t ɹ ɛ
ɹ iː z
t ɹ ɛ
ɹ iː z
t ɹ iː
ɹ iː t
t ɹ iː
b ə l
t ɹ iː
t ə d
t ɹ iː
t ɪ d
t ɹ iː
t ə ɹ
t ɹ iː
ə ɹ z
t ɹ iː
t iː z
t ɹ iː
t ɪ ŋ
t ɹ iː
t ə s
t ɹ iː
s ə z
t ɹ iː
ə n t
t ɹ iː
n t s
t ɹ iː
iː t s
t ɹ iː
iː t iː
t ɹ iː
t iː z
t ɹ ɪ
k ə k
t ɹ ɛ
b ə l
t ɹ ɛ
ə l d
t ɹ ɛ
k ə ɹ
t ɹ ɛ
ŋ k ə
t ɹ ɛ
k ə ɹ
t ɹ iː
d ə ɹ
t ɹ ɛ
d w eɪ
t ɹ iː
t ɹ iː
ɹ iː s
t ɹ iː
l ə s
t ɹ iː
ɹ iː n
t ɹ iː
ɹ iː z
t ɹ iː
ɹ iː z
t ɹ iː
ɹ iː ʃ
t ɹ iː
w iː t
t ɹ iː
t ɔː p
t ɹ iː
ɔː p s
t ɹ ɛ
θ ə n
t ɹ ɛ
ɑː ɹ n
t ɹ ɛ
f ɹ iː
t ɹ ɛ
ɛ f z
t ɹ ɛ
l iː ə
t ɹ ɛ
ɛ ɡ oʊ
t ɹ ɛ
n ɪ ŋ
t ɹ ɛ
ɡ ə ɹ
t ɹ ɛ
ɹ θ ə
t ɹ ɛ
ɑː ɹ n
t ɹ aɪ
b ə ɹ
t ɹ aɪ
aɪ k ə
t ɹ aɪ
l ə ɹ
t ɹ aɪ
l ə ɹ
t ɹ aɪ
n ə n
t ɹ eɪ
eɪ j oʊ
t ɹ ɛ
ɹ ɛ k
t ɹ ɛ
ɛ k t
t ɹ ɛ
k ɪ ŋ
t ɹ ɛ
ɛ k s
t ɹ ɛ
ɛ l ə
t ɹ ɛ
ɛ l ə
t ɹ ɛ
ɔː ɹ ɡ
t ɹ ɛ
ɹ ɡ z
t ɹ ɛ
l ə s
t ɹ ɛ
l ɔː ɹ
t ɹ ɛ
m aɪ n
t ɹ ɪ
m eɪ n
t ɹ ɛ
m eɪ n
t ɹ ɛ
b ə θ
t ɹ ɛ
b l eɪ
t ɹ ɛ
b ə l
t ɹ ɛ
ə l d
t ɹ ɛ
b l iː
t ɹ ɛ
l ɪ ŋ
t ɹ ɛ
l ɪ ŋ
t ɹ ɛ
b l iː
t ɹ ɛ
m ə l
t ɹ ə
d ə s
t ɹ ɪ
d ə s
t ɹ ə
s l iː
t ɹ ɪ
s l iː
t ɹ ɛ
ə n z
t ɹ ɛ
m ə l
t ɹ ɛ
m ə l
t ɹ ɛ
ə n t
t ɹ ɛ
m ə ɹ
t ɹ ɛ
ə ɹ z
t ɹ ɛ
p ə ɹ
t ɹ ɛ
l ə s
t ɹ ɛ
s l iː
t ɹ ɛ
ɛ ɹ iː
t ɹ ɛ
ɛ n tʃ
t ɹ ɛ
ə n t
t ɹ ɛ
ə ɹ d
t ɹ ɛ
tʃ ə ɹ
t ɹ ɛ
tʃ ɪ z
t ɹ ɛ
ɛ n d
t ɹ ɛ
d ɪ d
t ɹ ɛ
j ə ɹ
t ɹ ɛ
iː ə ɹ
t ɹ ɛ
iː s t
t ɹ ɛ
ə s t
t ɹ ɛ
d ɪ ŋ
t ɹ ɛ
l ə s
t ɹ ɛ
l aɪ n
t ɹ ɛ
n d z
t ɹ ɛ
ɛ n z
t ɹ ɛ
t ə ɹ
t ɹ ɛ
n d iː
t ɹ ɛ
oʊ l m
t ɹ ɛ
æ m p
t ɹ ɛ
k ə l
t ɹ ɛ
ɛ n t
t ɹ ɛ
n t s
t ɹ eɪ
n t eɪ
t ɹ ɛ
θ ə m
t ɹ ɛ
m ə n
t ɹ ɛ
t ə n
t ɹ ɛ
ə n z
t ɹ iː
iː ə n
t ɹ ɛ
iː ə ɹ
t ɹ ɛ
iː ə ɹ
t ɹ ɛ
ʃ ə n
t ɹ ɛ
p ə l
t ɹ ɛ
p t oʊ
t ɹ ɛ
ɹ ɛ ʃ
t ɹ ɛ
k ə t
t ɹ ɛ
p æ s
t ɹ ɛ
p ə s
t ɹ ɛ
s ɪ ŋ
t ɹ ɛ
s ɪ ŋ
t ɹ ɛ
ɹ ɛ s
t ɹ ɛ
s ə l
t ɹ ɛ
s ɪ z
t ɹ ɛ
l ə ɹ
t ɹ ɛ
ɛ s t
t ɹ ɛ
t ə ɹ
t ɹ ɛ
s ə l
t ɹ ɛ
j uː iː
t ɹ ɛ
ɔː j n
t ɹ ɛ
t ə l
t ɹ ɛ
t ə ɹ
t ɹ ɛ
t ɪ n
t ɹ uː
t ɹ uː
æ n d
t ɹ uː
ɑː l t
t ɹ uː
ɪ k t
t ɹ ɛ
θ ə n
t ɹ ə
j ə n
t ɹ ə
iː n oʊ
t ɹ ɛ
iː s oʊ
t ɹ ɛ
iː z oʊ
t ɹ ɛ
v ə ɹ
t ɹ uː
t ɹ ɛ
l ə ɹ
t ɹ eɪ
t ɹ eɪ
b ɪ ɡ
t ɹ ɛ
z aɪ z
t ɹ ɛ
ɛ z ə
t ɹ aɪ
t ɹ aɪ
t eɪ t
t ɹ aɪ
aɪ æ d
t ɹ aɪ
æ d z
t ɹ aɪ
æ d z
t ɹ aɪ
aɪ ɪ dʒ
t ɹ aɪ
aɪ ə l
t ɹ aɪ
ɹ aɪ l
t ɹ aɪ
ə l z
t ɹ aɪ
ə l z
t ɹ aɪ
aɪ l z
t ɹ iː
æ n ə
t ɹ aɪ
ɡ ə l
t ɹ aɪ
ə l z
t ɹ aɪ
ə l z
t ɹ aɪ
l ə ɹ
t ɹ aɪ
ʃ ə n
t ɹ iː
ɑː n oʊ
t ɹ aɪ
ɑː ɹ k
t ɹ aɪ
s ɪ k
t ɹ aɪ
l ə n
t ɹ ɪ
ɹ ɪ b
t ɹ aɪ
b ə l
t ɹ aɪ
ɪ z m
t ɹ aɪ
z ə m
t ɹ aɪ
æ s ə
t ɹ ɪ
b ɪ t
t ɹ ɪ
ɪ b iː
t ɹ ɪ
b ə l
t ɹ ɪ
ə l z
t ɹ ɪ
ɪ b iː
t ɹ aɪ
ɹ aɪ b
t ɹ aɪ
aɪ b z
t ɹ ɪ
ɛ k ə
t ɹ aɪ
aɪ b z
t ɹ aɪ
m æ n
t ɹ aɪ
m ɪ n
t ɹ ɪ
b ə l
t ɹ aɪ
ə ɹ oʊ
t ɹ ɪ
ʃ ə n
t ɹ ɪ
ə n z
t ɹ ɪ
b ə l
t ɹ ə
n ə l
t ɹ aɪ
ə l z
t ɹ ɪ
j uː n
t ɹ ɪ
uː n z
t ɹ ɪ
ɹ iː z
t ɹ ɪ
ɛ ɹ iː
t ɹ ɪ
j uː t
t ɹ ɪ
uː t s
t ɹ ɪ
uː t s
t ɹ iː
iː k oʊ
t ɹ aɪ
ɹ aɪ s
t ɹ aɪ
ɹ ɑː l
t ɹ aɪ
ɑː l z
t ɹ aɪ
ɛ p s
t ɹ aɪ
ɔː p s
t ɹ ɪ
ɹ ɪ tʃ
t ɹ ɪ
tʃ ɪ t
t ɹ ɪ
ɪ ʃ ə
t ɹ ɪ
ʃ ə z
t ɹ ɪ
s ɪ l
t ɹ ɪ
ɹ ɪ k
t ɹ ɪ
ɪ k t
t ɹ ɪ
k ə l
t ɹ ɪ
ə ɹ iː
t ɹ ɪ
k ɪ t
t ɹ ɪ
ɪ k iː
t ɹ ɪ
iː ə ɹ
t ɹ ɪ
ə s t
t ɹ ɪ
k ɪ ŋ
t ɹ ɪ
k ə l
t ɹ ɪ
ə l d
t ɹ ɪ
ə l z
t ɹ ɪ
l ɪ ŋ
t ɹ ɪ
ɪ k s
t ɹ ɪ
t ə ɹ
t ɹ ɪ
ə ɹ z
t ɹ ɪ
ɪ k iː
t ɹ iː
iː k oʊ
t ɹ aɪ
p ə d
t ɹ ɪ
k ə l
t ɹ aɪ
ə n t
t ɹ ɪ
ɛ k s
t ɹ aɪ
t ɹ aɪ
ɹ aɪ d
t ɹ aɪ
iː ə l
t ɹ aɪ
aɪ ə ɹ
t ɹ ɪ
l ə ɹ
t ɹ aɪ
ɹ aɪ z
t ɹ iː
iː s t
t ɹ uː
t ɹ ɪ
ɑː ɹ iː
t ɹ aɪ
k t ə
t ɹ aɪ
f ə l
t ɹ aɪ
ə l z
t ɹ aɪ
l ɪ ŋ
t ɹ ɪ
ɹ ɪ ɡ
t ɹ ɪ
ɹ ɪ ɡ
t ɹ ɪ
ɡ ə ɹ
t ɹ ɪ
ə ɹ d
t ɹ ɪ
ɹ ɪ ŋ
t ɹ ɪ
ə ɹ z
t ɹ ɪ
ɪ ɡ z
t ɹ aɪ
ɹ aɪ d
t ɹ aɪ
aɪ d z
t ɹ iː
iː ɡ oʊ
t ɹ aɪ
ɹ ə l
t ɹ ɪ
l b iː
t ɹ ɪ
ɹ ɪ l
t ɹ ɪ
l ɪ n
t ɹ ɪ
l ɪ ŋ
t ɹ ɪ
j ə n
t ɹ ɪ
ə n z
t ɹ ɪ
ɪ l oʊ
t ɹ ɪ
ə dʒ iː
t ɹ ɪ
l ə n
t ɹ ɪ
ɹ ɪ m
t ɹ ɪ
m æ k
t ɹ iː
ɹ k iː
t ɹ ɪ
ɹ k oʊ
t ɹ iː
m ə s
t ɹ ɪ
b ə l
t ɹ iː
oʊ l iː
t ɹ aɪ
d aɪ n
t ɹ aɪ
t ə ɹ
t ɹ ɪ
s eɪ t
t ɹ ɪ
ɹ ɪ m
t ɹ ɪ
ɪ m d
t ɹ ɪ
m ə ɹ
t ɹ ɪ
ə ɹ z
t ɹ ɪ
m ɪ ŋ
t ɹ ɪ
ɪ ŋ z
t ɹ ɪ
ɪ m p
t ɹ ɪ
ɪ m z
t ɹ ɪ
ə l iː
t ɹ aɪ
ɹ aɪ n
t ɹ ɪ
ɑː l iː
t ɹ ɪ
ɹ ɪ n
t ɹ ɪ
d æ d
t ɹ ɪ
ə t iː
t ɹ ɪ
ɪ t iː
t ɹ ɪ
t iː z
t ɹ ɪ
ŋ k ə
t ɹ ɪ
k ə t
t ɹ ɪ
ə t s
t ɹ ɪ
k ə l
t ɹ aɪ
oʊ v ə
t ɹ ɪ
ɛ k s
t ɹ iː
ɹ iː oʊ
t ɹ iː
iː oʊ z
t ɹ iː
oʊ l ə
t ɹ iː
oʊ l oʊ
t ɹ iː
oʊ m f
t ɹ ɪ
ɹ ɪ p
t ɹ ɪ
ɪ p s
t ɹ aɪ
t aɪ t
t ɹ aɪ
ɹ aɪ p
t ɹ iː
iː p iː
t ɹ ɪ
p ə l
t ɹ ɪ
æ s t
t ɹ ɪ
ə l d
t ɹ ɪ
ə l z
t ɹ ɪ
l ə t
t ɹ ɪ
ə t s
t ɹ ɪ
l ɪ t
t ɹ ɪ
ɛ k s
t ɹ ɪ
k ə t
t ɹ ɪ
l ɪ ŋ
t ɹ ɪ
l ɪ ŋ
t ɹ aɪ
p ɑː d
t ɹ iː
oʊ d iː
t ɹ aɪ
ɑː d z
t ɹ ɪ
ə l iː
t ɹ ɪ
l iː z
t ɹ ɪ
ɹ ɪ p
t ɹ ɪ
ɪ p s
t ɹ ɪ
ɹ ɪ p
t ɹ ɪ
ɪ p t
t ɹ ɪ
p ə l
t ɹ ɪ
p ə ɹ
t ɹ ɪ
ə ɹ z
t ɹ ɪ
p ɪ t
t ɹ ɪ
ɪ p iː
t ɹ ɪ
p ɪ ŋ
t ɹ ɪ
p ə l
t ɹ ɪ
ɪ p s
t ɹ ɪ
t ɪ k
t ɹ aɪ
iː m z
t ɹ ɪ
ɹ ɪ ʃ
t ɹ ɪ
ɪ ʃ ə
t ɹ ɪ
ʃ ə z
t ɹ ɪ
s k ə
t ɹ ɪ
l ə ɹ
t ɹ ɪ
l ə ɹ
t ɹ ɪ
z ə m
t ɹ ɪ
s t ə
t ɹ ɪ
t æ n
t ɹ aɪ
t ɑː ɹ
t ɹ aɪ
t eɪ t
t ɹ ɪ
ɹ ə m
t ɹ ɪ
ɹ ɪ tʃ
t ɹ aɪ
ɹ aɪ t
t ɹ aɪ
aɪ t s
t ɹ ɪ
iː ə m
t ɹ aɪ
t ə n
t ɹ aɪ
ə n z
t ɹ ɪ
ɹ ɪ tʃ
t ɹ ɪ
l ə ɹ
t ɹ ɪ
ɹ ɪ t
t ɹ ɪ
ɪ t s
t ɹ aɪ
ə m f
t ɹ aɪ
f ə l
t ɹ aɪ
ə n t
t ɹ aɪ
t l iː
t ɹ aɪ
m f t
t ɹ aɪ
m f s
t ɹ aɪ
ɹ ə t
t ɹ iː
ɛ d iː
t ɹ ɪ
ə s t
t ɹ aɪ
ɛ s t
t ɹ ɪ
v ɪ t
t ɹ ɪ
v ɛ t
t ɹ ɪ
v iː ə
t ɹ ɪ
iː ə l
t ɹ ɪ
ə t iː
t ɹ ɪ
l aɪ z
t ɹ ɪ
l aɪ z
t ɹ ɪ
aɪ z d
t ɹ ɪ
aɪ z d
t ɹ ɪ
z ɪ z
t ɹ ɪ
z ɪ z
t ɹ ɪ
z ɪ ŋ
t ɹ ɪ
z ɪ ŋ
t ɹ ɪ
k s iː
t ɹ ɪ
k s iː
t ɹ ɪ
z ə k
t ɹ ɪ
ɛ k s
t ɹ ɪ
ŋ k ə
t ɛ ɹ
l j ɛ
t ɹ ɑː
ɑː b ɔː
t ɹ ɑː
ɹ ɑː tʃ
t ɹ ɑː
m æ n
t ɹ ɑː
m æ n
t ɹ ɑː
ɑː k iː
t ɹ ɑː
ɹ ɑː d
t ɹ ɑː
d ə n
t ɹ oʊ
ɡ ə ɹ
t ɹ oʊ
d ə l
t ɹ oʊ
t ə ɹ
t ɹ ɑː
d ə n
t ɹ oʊ
oʊ h ə
t ɹ oʊ
oʊ j ə
t ɹ oʊ
ɑː n iː
t ɹ oʊ
ɑː n oʊ
t ɹ ɔː
j k ə
t w ɑː
t ɹ ɔː
ɔː j z
t ɹ ɔː
j s iː
t ɹ oʊ
dʒ ə n
t ɹ ə
s k iː
t ɹ oʊ
ə n z
t ɹ oʊ
k ə l
t ɹ oʊ
ŋ ə ɹ
t ɹ oʊ
ɹ oʊ l
t ɹ ɑː
ɑː l iː
t ɹ ɑː
l iː z
t ɹ oʊ
l ɪ ŋ
t ɹ oʊ
ŋ ə ɹ
t ɹ oʊ
oʊ m ə
t ɹ oʊ
iː n oʊ
t ɹ ɑː
b ə l
t ɹ ɑː
b l iː
t ɹ ɑː
b l iː
t ɹ ɑː
b oʊ n
t ɹ ɑː
oʊ n z
t ɹ ɑː
ɪ s t
t ɹ ɑː
ɑː m p
t ɹ ɑː
t ə ɹ
t ɹ ɑː
ɹ ɑː n
t ɹ oʊ
oʊ s oʊ
t ɹ oʊ
ɹ oʊ n
t ɹ ɑː
n ɪ k
t ɹ uː
ɹ uː n
t ɹ uː
ɹ uː p
t ɹ uː
uː p s
t ɹ uː
uː p t
t ɹ uː
p ə ɹ
t ɹ uː
ə ɹ z
t ɹ uː
ə ɹ z
t ɹ uː
ə ɹ z
t ɹ uː
p ɪ ŋ
t ɹ uː
uː p s
t ɹ uː
uː p s
t ɹ uː
uː s t
t ɹ oʊ
p iː ə
t ɹ oʊ
iː n oʊ
t ɹ oʊ
f iː z
t ɹ oʊ
oʊ f iː
t ɹ ɑː
p ɪ k
t ɹ ɑː
k ə l
t ɹ ɑː
æ n ə
t ɹ ɑː
n ə z
t ɹ ɑː
ɪ k s
t ɹ ɑː
p ɔː z
t ɹ ɑː
ɹ ɑː p
t ɹ ɑː
ɹ l d
t ɹ ɑː
ɹ ɑː ʃ
t ɹ ə
l ɛ ɹ
t ɹ ɑː
p ə ɹ
t ɹ ɑː
ɑː s t
t ɹ ɑː
t ə l
t ɹ ɑː
s ə l
t ɹ ɑː
ɹ ɑː t
t ɹ oʊ
ɹ oʊ θ
t ɹ ɔː
ɹ ɔː θ
t ɹ ɑː
m ə n
t ɹ ɑː
ɑː t s
t ɹ ɑː
s k iː
t ɹ ɑː
ɹ ɑː t
t ɹ ɑː
t ə d
t ɹ ɑː
t ɪ d
t ɹ ɑː
t ə n
t ɹ ɑː
t ə ɹ
t ɹ ɑː
iː ə ɹ
t ɹ ɑː
t ɪ ŋ
t ɹ uː
d ɔː ɹ
t ɹ uː
ɹ uː b
t ɹ ʌ
b ə l
t ɹ ʌ
ə l d
t ɹ ʌ
iː l d
t ɹ ʌ
k ə ɹ
t ɹ ʌ
ə ɹ z
t ɹ ʌ
ə l z
t ɹ ʌ
t ə ɹ
t ɹ ʌ
s ə m
t ɹ ʌ
l ɪ ŋ
t ɹ ʌ
l ɪ ŋ
t ɹ aʊ
aʊ d t
t ɹ ɔː
ɹ ɔː f
t ɹ ɔː
ɔː f s
t ɹ aʊ
aʊ n s
t ɹ aʊ
n s t
t ɹ aʊ
s ɪ ŋ
t ɹ aʊ
ɹ aʊ ŋ
t ɹ uː
ɹ uː p
t ɹ uː
ɹ uː p
t ɹ uː
uː p s
t ɹ uː
uː p s
t ɛ ɹ
d eɪ l
t ɹ aʊ
z ə ɹ
t ɹ aʊ
ə ɹ z
t ɹ aʊ
ɹ aʊ t
t ɹ aʊ
aʊ t s
t ɹ aʊ
m ə n
t ɹ aʊ
n ə ɹ
t ɹ aʊ
ɹ aʊ t
t ɹ aʊ
w aɪ n
t ɹ oʊ
ɑː t oʊ
t ɹ oʊ
t ɔː ɹ
t ɹ oʊ
ɹ oʊ v
t ɹ oʊ
t ɹ oʊ
ɹ ɪ dʒ
t ɹ aʊ
w ɛ l
t ɹ ɑː
w ɛ l
t ɹ aʊ
aʊ ə ɹ
t ɹ ɑː
s ə l
t ɹ ɑː
s ə l
t ɹ ɑː
l ə ɹ
t ɹ ɔː
ɹ ɔː j
t ɹ ɔː
j ə n
t ɹ ɔː
n oʊ s
t ɹ ɔː
j æ t
t ɹ ɔː
j ə ɹ
t ɹ ɔː
j k ə
t ɹ ɔː
ɔː j uː
t ɹ uː
n s iː
t ɹ uː
ə n t
t ɹ uː
æ k s
t ɹ uː
uː b iː
t ɹ uː
uː b iː
t ɹ uː
uː k oʊ
t ɹ uː
ɹ uː s
t ɹ ʌ
tʃ ə n
t ɹ ʌ
ɹ ʌ k
t ɹ ʌ
ʌ k s
t ɹ ʌ
ʌ k t
t ɹ ʌ
ʌ k iː
t ɹ ʌ
k ə ɹ
t ɹ ʌ
ə ɹ z
t ɹ ʌ
ə ɹ z
t ɹ ʌ
k ɪ ŋ
t ɹ ʌ
l oʊ d
t ɹ ʌ
oʊ d z
t ɹ ʌ
ʌ k s
t ɹ ʌ
ʌ k s
t ɹ ʌ
ə n t
t ɹ uː
uː d ə
t ɹ uː
ɹ uː d
t ɹ uː
uː d oʊ
t ɹ uː
d ə l
t ɹ ʌ
d ə l
t ɹ ʌ
ɹ ʌ dʒ
t ɹ ʌ
ʌ dʒ d
t ɹ ʌ
dʒ ə n
