a
a
a z
a
a z
a z
ɡ a d
θ a ɹ
ɹ l a
θ a ɹ
a ɹ m
θ a ɹ
m a n
θ a ɹ
m a n
θ a ɹ
a n d
θ a ɹ
n d z
θ a ɹ
a ɹ n
θ a ɹ
ɹ n a
θ a ɹ
n a ɹ
θ a ɹ
n a ɹ
θ a ɹ
a ɹ a
θ a ɹ
s b a
θ a ɹ
z d a
θ a ɹ
z d a
θ a ɹ
d a z
θ a ɹ
d a z
θ a ɹ
d a z
θ a ɹ
d a z
θ a ɹ
t a n
θ a ɹ
t a n
ð a s
ð a s
f a ɹ
ð a s
s l a
t a
θ w a
a ɹ t
θ w a
t a d
θ w a
t a d
θ w a
t a ŋ
θ w a
ɹ t s
θ w a
w a t
θ w a
w a ŋ
ð a
θ a ɡ
s a n
θ a m
θ a m
d a n
θ a ɹ
a ɹ a
θ a ɹ
a j d
t a s
s a n
t a s
a n z
t a
t a a
t a a
ɹ a f
t a a
a f s
t j a
j a n
t a a
m a n
t a a
dʒ a n
t a a
a n a
t a a
a ɹ a
t a a
ɹ a z
t a b
a l z
t a b
a t s
t a b
b a t
t a b
a t s
t a b
a b a
t a b
a t s
t a b
a t s
t a b
a b z
t a b
a b a
t a b
b a ɹ
t a b
a ɹ a
t a b
ɹ a a
t a b
ɹ a a
t a b
ɹ a n
t a b
b a t
t a b
t a n
t a b
a n z
t a b
a b a
t a b
b a a
t a b
b j a
t a b
a d a
t a k
t a s
t a s
s a ɹ
t a k
n a ɹ
t a tʃ
a tʃ a
t a s
n a s
t a k
t a k
a k t
t a k
k a ɹ
t a k
k a t
t a k
k a t
t a k
a t s
t a k
t a d
t a k
t a ŋ
t a k
l a s
t a k
t a ɹ
t a k
a ɹ z
t a k
ɹ a n
t a k
a t s
t a k
a t s
t a k
k a ŋ
t a k
k a l
t a k
a l d
t a k
a l z
t a k
l a ʃ
t a k
n a ɹ
t a k
n a ɹ
t a k
a k s
t a k
a ɡ a
t a k
ɡ a z
t a k
k a ɹ
t a k
a k s
t a d
d a l
t a d
b a l
t a d
b a t
t a d
a t s
t a d
t a d
d l a
t a d
ŋ k s
t a d
ŋ k s
t a d
t a d
a d z
t a d
t a ɹ
t a d
d a ŋ
t a d
a ŋ z
t a d
m a ɹ
t a d
ɹ a k
t a d
w a l
t a d
a d a
t a
t a d
t a d
t a d
m a n
t a d
m a n
t a d
a d t
t a ɡ
a ɡ z
t a a
a a n
t a a
a a ŋ
t a k
k a n
t a l
l a s
t a m
m a n
t a m
m a n
t a m
a a ɹ
t j a
j a n
t j a
n f a
t j a
m a n
t a ɹ
t a ɹ
a ɹ s
t a ɹ
ɹ k a
t a ɹ
a ɹ d
t a ɹ
n a n
t a ɹ
ɹ n a
t a ɹ
ɹ n a
t a ɹ
a ɹ z
t a z
t a ʃ
ʃ a n
t a t
a t dʒ
t a t
dʒ a n
t a t
m a ɹ
t a t
m a ɹ
t a t
a t s
t a t
a t z
t a t
t z a
t a a
t a f
t a f
a n a
t a f
n a z
t a f
f a n
t a f
a f t
t a f
a f t
t a f
t a n
t a ɡ
t a ɡ
ɡ a ɹ
t a ɡ
a ɹ z
t a ɡ
ɡ a ɹ
t a ɡ
a ɹ z
t a dʒ
a ɹ a
t a ɡ
a ɹ z
t a ɡ
a ɹ z
t a ɡ
a ɹ t
t a ɡ
a ɡ z
t a ɡ
a ɡ z
t a ɡ
t a t
t a t
t a n
t a t
a n d
t a t
n a ŋ
t a t
n a ŋ
t a t
a ŋ z
t a t
a ŋ z
t a t
a n z
t a t
t a ɹ
t a t
a s t
t a t
t a d
t a t
t l a
t a t
n a s
t a t
ɹ a p
t a t
a t s
t a t
w a d
t a ɡ
n a ɹ
t a ɡ
n a ɹ
t a ɡ
ɡ a n
t a ɡ
ɹ a n
t a ɡ
ɹ a s
t a ɡ
t a j
a n a
t a w
a n a
t a k
t a k
a k s
t a k
a k a
t a l
t a l
a ɹ a
t a l
l d a
t a l
d a n
t a l
t a l
a l d
t a l
a l z
t a l
a l a
t a l
a ɹ d
t a l
m a n
t a l
t a l
l a ɹ
t a l
a ɹ a
t a l
a l z
t a l
l a t
t a l
a l a
t a l
a l a
t a l
l a ŋ
t a l
a s t
t a l
l a s
t a l
s a n
t a l
m a n
t a l
m a n
t a l
s a n
t a l
s a n
t a l
a l a
t a l
l a z
t a l
m a n
t a l
l n a
t a l
s a n
t a l
a l t
t a l
t a d
t a l
t a d
t a l
a l θ
t a l
t a ŋ
t a l
t a n
t a l
l t s
t a m
t a m
a m z
t a m
m a n
t a m
b a ɹ
t a m
l a k
t a m
a n d
t a m
n d z
t a m
l a n
t a m
m a n
t a m
a ɹ z
t a m
l a n
t a m
b a ɹ
t a m
ɹ a k
t a m
a m z
t a m
k t a
t a m
t a m
a m z
t a m
a m d
t a m
ɹ a m
t a m
l a s
t a m
l a n
t a m
a n z
t a m
n a s
t a m
m l a
t a m
m a t
t a m
p a s
t a m
a k s
t a m
m a ɹ
t a m
a ɹ z
t a m
a m z
t a m
a m z
t a m
z a z
t a m
ʃ a ɹ
t a m
b a l
t a m
a l z
t a m
w a z
t a m
a k s
t a m
m a d
t a m
a t a
t a m
d l a
t a m
m a ŋ
t a m
a ɹ a
t a m
a ɹ a
t a m
k a n
t a m
m k a
t a m
l a n
t a m
l a n
t a m
t a m
t a m
a n a
t a m
m a ɹ
t a m
m a n
t a m
m a n
t a m
a ɹ z
t a m
a m a
t a m
a n z
t a m
a n z
t a m
a m z
t a m
a m a
t a m
m a n
t a m
a n a
t a m
m a ɹ
t a m
a ɹ z
t a m
ɹ a z
t a m
ɹ a s
t a m
ð a a
t a m
a θ a
t a m
a n a
t a m
a m p
t a m
a n a
t a m
s a n
t a m
a m z
t a m
s a n
t a m
m a ɹ
t a m
a a n
t a n
t a n
a n a
t a n
n a z
t a n
a ɹ a
t a n
a n tʃ
t a n
tʃ a ɹ
t a ŋ
tʃ a ɹ
t a ŋ
a ɹ z
t a n
d a l
t a n
d a l
t a n
d a l
t a n
d a l
t a n
d a ɹ
t a n
a k s
t a n
d a l
t a n
d a l
t a n
t a n
n a ɹ
t a n
a n z
t a ŋ
t a n
a n dʒ
t a ŋ
a ŋ d
t a ŋ
ŋ a n
t a ŋ
ŋ ɡ a
t a ŋ
ɡ a l
t a ŋ
l a ɹ
t a ŋ
l a ɹ
t a ŋ
ɡ l a
t a ŋ
l a ŋ
t a ŋ
l a ŋ
t a n
a a ɹ
t a n
a s t
t a ŋ
k a ɹ
t a ŋ
a ɹ z
t a ŋ
a ɹ d
t a ŋ
ɹ a ɹ
t a ŋ
a ɹ z
t a ŋ
ɹ a ŋ
t a ŋ
ɹ a ŋ
t a n
n k a
t a ŋ
k a m
t a ŋ
k a l
t a ŋ
a l d
t a ŋ
l a ɹ
t a ŋ
l a ɹ
t a ŋ
l a ŋ
t a ŋ
l a ŋ
t a n
n l a
t a n
m a n
t a n
n a l
t a n
a n a
t a n
n a n
t a n
n a n
t a n
a n a
t a n
a n a
t a n
a k a
t a n
a n z
t a n
s a l
t a n
t a n
s l a
t a n
m a n
t a n
a n t
t a n
t a d
t a n
n t a
t a n
t a n
n t s
t a n
t a p
t a n
a n a
t a p
t a p
a p a
t a p
h a k
t a p
l a ɹ
t a p
l a ɹ
t a p
a p a
t a p
p a f
t a p
t a p
a p t
t a p
p a n
t a p
a n z
t a p
p a ɹ
t a p
a ɹ a
t a p
a ɹ z
t a p
p a t
t a p
a t s
t a p
p a t
t a p
a t s
t a p
a p a
t a p
p a n
t a p
p a ŋ
t a p
a n z
t a p
p a t
t a p
p a t
t a p
p a l
t a p
a p s
t a p
a p a
t a p
p a z
t a p
a p s
t a p
t a ɹ
t a p
a ɹ d
t a p
p s a
t a p
p t a
t a p
t a d
t a p
a a ŋ
t a p
t a n
t a ɹ
ɹ a d
t a ɹ
a d z
t a ɹ
a d a
t a ɹ
a s a
t a ɹ
a n a
t a ɹ
ɹ a n
t a a
a a ɹ
t a a
a ɹ d
t a a
n a s
t a a
l a s
t a ɹ
s l a
t a ɹ
a l a
t a ɹ
k a ɹ
t a a
a ɹ z
t a a
s a m
t a ɹ
a ɹ a
t a ɹ
ɹ a ŋ
t a ɹ
ɹ a n
t a ɹ
ɹ a z
t a ɹ
p a k
t a ɹ
ɹ a l
t a z
t a ʃ
t a ʃ
ʃ a z
t a ʃ
ʃ a ɹ
t a ʃ
l a ɹ
t a ʃ
l a ɹ
t a s
d a l
t a s
d a l
t a s
d a l
t a ʃ
t a ʃ
ʃ a z
t a ʃ
ʃ a ɹ
t a ʃ
l a ɹ
t a ʃ
m a n
t a s
s a n
t a s
s j a
t a ʃ
a ʃ a
t a s
j a z
t a ʃ
ʃ a z
t a t
t a t
t a t
a t a
t a t
t a n
t a t
n a t
t a t
n j a
t a t
n a k
t a t
a a m
t a t
a n z
t a t
k a m
t a ð
t a ð
ð a ŋ
t a ʃ
ʃ a n
t a t
l a t
t a t
t a d
t a t
t a ŋ
t a t
ʃ a n
t a t
n a s
t a t
t a l
t a t
a l d
t a t
d a ɹ
t a t
a l z
t a t
t l a
t a t
m a n
t a t
a t a
t a t
t a z
t a t
t a n
t a t
a ɹ θ
t a t
t a l
t a t
t a ɹ
t a t
t a n
t a t
t a l
t a t
a ɹ θ
t a tʃ
l a ɹ
t a t
t a s
t a t
v a l
t a t
z a ɹ
t a v
a l a
t a z
a z a
dʒ a d
d a n
dʒ a ɹ
ɹ k s
k a tʃ
k a tʃ
t l a
a k a
t l a
ɡ a t
t a
t a
t a
t a a
t a d
t a d
a d z
t a l
t a l
s a n
t a l
t a ɹ
t a s
a s t
t a s
t a d
t a s
t a ɹ
t a s
a ɹ z
t a s
t a ŋ
t a s
t a ɹ
t a s
s t s
t a b
a k a
t a b
k a z
t a b
k a z
tʃ a b
b a k
t a b
a ɡ a
t a b
b a ɹ
t a b
t a b
b a n
t a b
b a ɹ
t a b
a b a
t a b
b a a
t a b
a a s
t a b
s a n
t a b
a b a
t a b
b a n
t a b
l a ɹ
t a b
l a ɹ
t a b
ɡ a n
t a b
a n z
t a b
s k a
t a b
ɹ a k
t a b
a b a
t a b
a b a
t a b
b a z
t a tʃ
a tʃ a
t a k
a k a
t a k
t a k
v a l
t a k
a l z
t a tʃ
tʃ a k
t a d
t a d
a d a
t a d
a ɹ a
t a d
a d a
t a d
a d a
t a d
d a l
t a d
d a l
t a d
d a z
t a d
d a z
t a d
d a z
t a d
d a z
t a d
t a d
a d z
t a d
d a l
t a d
l a ɹ
t a d
a ɹ z
t a d
l a ŋ
t a d
t a ɹ
t a d
d a s
t a d
s k a
t a d
m a n
t a d
ɹ a f
t a d
a d t
t a
t a d
t a h
a l d
t a a
a a ŋ
t a l
t a n
n a l
t a n
a l z
t a n
dʒ a z
t a n
s a ŋ
t a p
f a ɹ
t a z
t a a
a a z
t a f
a f a
t a f
l a ɹ
t a f
a f t
t a f
a f t
t a f
a f a
t a ɡ
a ɡ a
t a ɡ
ð a ɹ
t a ɡ
n a s
t a ɡ
a ɹ z
t a ɡ
ɡ a l
t a ɡ
a l d
t a ɡ
l a ŋ
t a ɡ
a n a
t a ɡ
a ɡ a
t a ɡ
a ɡ z
t a j
b a n
t a j
a j l
t a j
j l d
t a j
l a t
t a j
a t s
t a j
ɹ a z
t a j
t ɹ a
t a j
a t s
t a j
l a ŋ
t a j
j l z
t a j
j t a
t a j
n a n
t a k
a k a
t a k
k a ɹ
t a k
tʃ a k
t a k
a ɹ z
t a k
s k a
t a k
a ɹ z
t a k
k a n
t a k
z a m
t a k
a n z
t a k
k a a
t a k
k a n
t a k
k a s
t a k
a ɡ a
t a k
j a a
t a k
a m a
t a k
k a a
t a k
a a z
t a k
k j a
t a l
t a l
l a n
t a l
a n d
t a l
n ð a
t a l
l a ɹ
t a l
a ɹ t
t a l
a l d
t a l
a a n
t a l
t a l
a d a
t a l
d a z
t a l
l a n
t a l
a n a
t a l
l a ɹ
t a l
b a l
t a l
a n s
t a l
s a z
t a l
a n t
t a l
n t s
t a l
ɹ a t
t a l
t a d
t a l
a t s
t a l
t a ŋ
t a l
ʃ a n
t a l
a l z
t a l
ɹ s t
t a l
l a n
t a l
v a ɹ
t a l
t a l
a n d
t a l
n d z
t a l
b a θ
t a l
t a l
a l d
t a l
s a n
t a l
s a n
t a l
l a ɹ
t a l
a l z
t a l
s a n
t a l
l a t
t a l
a l a
t a l
l a ŋ
t a l
s a n
t a l
v a ɹ
t a l
a l z
t a l
a l a
t a l
m a n
t a l
s m a
t a l
s a n
t a l
t a j
t a l
a j z
t a m
t a m
a m z
t a m
a m a
t a m
h a k
t a m
a k s
t a m
a n a
t a m
a k a
t a m
k a z
t a m
m a n
t a m
n a k
t a m
a ɹ a
t a m
m a s
t a m
s a k
t a m
a l a
t a m
a l a
t a m
a t a
t a m
a s a
t a m
s a k
t a m
s a k
t a m
a n a
t a m
a n a
t a m
a n a
t a m
a n a
t a m
s k a
t a m
a s a
t a m
a t a
t a m
a s a
t a m
a s a
t a m
a l a
t a m
s k a
t a m
a n a
t a m
n a z
t a m
a t a
t a m
a t a
t a m
a t a
t a m
a t a
t a m
t a z
t a m
t a z
t a m
t a z
t a m
t a z
t a m
a k a
t a m
t a m
l a n
t a m
l a k
t a m
l a n
t a m
b a j
t a m
a m z
t a m
t a n
t a m
a n z
t a m
k a t
t a m
tʃ a k
t a m
tʃ a k
t a m
t a m
a m a
t a m
m a k
t a m
m a a
t a m
m a ɹ
t a m
l a n
t a m
a m z
t a m
a m a
t a m
m a k
t a m
a tʃ a
t a m
s a n
t a m
a t a
t a m
v a tʃ
t a m
k a n
t a m
a n z
t a m
s a n
t a m
m k a
t a m
l a n
t a m
s a n
t a m
a m a
t a m
a m a
t a m
m a z
t a m
a l a
t a m
f a k
t a m
a ɹ a
t a m
a ɹ a
t a m
ɹ a z
t a m
ɹ a z
t a m
ɹ a z
t a m
ɹ a z
t a m
p a n
t a m
a n z
t a m
s a z
t a m
s a n
t a m
a m z
t a m
ʃ a k
t a m
s a k
t a m
s a n
t a n
t a n
n a l
t a n
t a z
t a n
a t a
t a n
n d a
t a n
n d a
t a n
d ɹ a
t a n
t a n
a n d
t a n
a w a
t a n
a l a
t a n
n a ɹ
t a n
a n z
t a n
a n a
t a ŋ
t a n
n ɡ a
t a n
ɡ a z
t a n
a n dʒ
t a ŋ
a ŋ z
t a ŋ
a ŋ z
t a ŋ
t a ŋ
a ŋ d
t a ŋ
a ŋ z
t a n
a n a
t a n
n a a
t a n
n a k
t a n
a k s
t a n
a n a
t a n
a s t
t a n
n a t
t a n
n a t
t a n
a t s
t a n
a t s
t a n
n a ŋ
t a n
a n a
t a n
n a t
t a n
j a s
t a ŋ
a ŋ k
t a ŋ
ŋ k a
t a ŋ
k a z
t a ŋ
k a n
t a ŋ
v a tʃ
t a ŋ
ŋ k s
t a n
t a n
n a dʒ
t a n
n a dʒ
t a n
dʒ a z
t a n
t a n
n a ɹ
t a n
a n z
t a n
s a n
t a n
a n z
t a n
s a l
t a n
m a z
t a n
a m a
t a n
a l z
t a n
n t a
t a n
t a n
a n z
t a n
a n a
t a n
n a z
t a n
n j a
t a n
j a z
t a n
j a z
t a n
n a z
t a n
a s k
t a
t a b
b a n
t a b
a n z
t a ɡ
ɡ a d
t a a
t a k
t a k
t a k
k a ɹ
t a k
a k s
t a l
t a l
l a n
t a l
a k s
t a l
t a l
a l d
t a l
a l a
t a l
l a ŋ
t a l
k a ɹ
t a l
a ɹ z
t a l
ɹ a m
t a l
a l z
t a l
ɹ k s
t a m
m a n
t a m
a m z
t a m
m a ɹ
t a m
a m a
t a n
t a n
t a p
a p s
t a t
t a t
t a l
t a t
t a θ
t a θ
k a ɹ
t a θ
ɹ a ʃ
t a θ
ʃ a z
t a θ
a θ t
t a ð
a ð d
t a θ
l a s
t a θ
l a k
t a θ
m a n
t a θ
a s t
t a θ
s t s
t a θ
p a k
t a θ
a k s
t a θ
a θ a
t a t
t a l
t a t
a t s
t a t
a t s
t a t
t s a
t a t
t s a
t a p
t a p
t a p
a a n
t a p
ŋ ɡ a
t a p
ŋ ɡ a
t a p
p a z
t a p
t a p
a k a
t a p
a k a
t a p
k a z
t a p
k a n
t a p
a n z
t a p
p a l
t a p
p a t
t a f
f a m
t a p
a ɹ a
t a p
p a k
t a p
k a l
t a p
k a l
t a p
a k s
t a p
a k s
t a p
a k s
t a p
a p a
t a p
n a t
t a p
l a s
t a p
l a f
t a p
f a k
t a p
a f a
t a p
p a l
t a p
k a l
t a p
a dʒ a
t a p
s k a
t a p
p a ɹ
t a p
t a p
a p t
t a p
p a ɹ
t a p
a ɹ z
t a p
p a n
t a p
p a ŋ
t a p
a ŋ z
t a p
a n z
t a p
p a l
t a p
a l d
t a p
a l z
t a p
l a ŋ
t a p
l a ŋ
t a p
a p s
t a p
a p s
t a p
a j l
t a p
p s a
t a p
ɹ v a
t a k
a l a
t a ɹ
t a ɹ
a ɹ a
t a ɹ
ɹ a n
t a ɹ
a l d
t a ɹ
ɹ a n
t a ɹ
a ɹ a
t a ɹ
b a k
t a ɹ
a ɹ t
t a ɹ
b a t
t a ɹ
a ɹ tʃ
t a ɹ
ɹ tʃ t
t a ɹ
tʃ a z
t a ɹ
k a a
t a ɹ
tʃ a ŋ
t a ɹ
a ɹ k
t a ɹ
a l a
t a ɹ
t a ɹ
ɹ a l
t a ɹ
a l a
t a ɹ
a l a
t a ɹ
ɹ a n
t a ɹ
a ɹ a
t a ɹ
s a n
t a ɹ
s a n
t a ɹ
s a n
t a ɹ
a ɹ a
t a ɹ
a a n
t a ɹ
b a a
t a ɹ
a ɹ a
t a ɹ
n t a
t a ɹ
ɹ a z
t a ɹ
ɹ a z
t a ɹ
a n a
t a ɹ
s a n
t a ɹ
ɹ l a
t a ɹ
ɹ m a
t a ɹ
a ɹ m
t a ɹ
ɹ m a
t a ɹ
a n t
t a ɹ
a n t
t a ɹ
n t a
t a ɹ
t a d
t a ɹ
t a ŋ
t a ɹ
t a ɹ
a ɹ z
t a ɹ
n t s
t a ɹ
ɹ m a
t a ɹ
a ɹ n
t a ɹ
a n a
t a ɹ
d a k
t a ɹ
a d a
t a ɹ
d a z
t a ɹ
d a z
t a ɹ
d a z
t a ɹ
a ɹ a
t a ɹ
ɹ n a
t a ɹ
ɹ n a
t a ɹ
ɹ n a
t a ɹ
a s t
t a ɹ
a ɹ a
t a ɹ
ɹ a k
t a ɹ
a d a
t a ɹ
n t a
t a ɹ
n t a
t a ɹ
t a z
t a ɹ
t a z
t a ɹ
ʒ a n
t a ɹ
a ɹ p
t a ɹ
a d a
t a ɹ
d a d
t a ɹ
d a z
t a ɹ
a a ŋ
t a ɹ
d a z
t a ɹ
ɹ p a
t a ɹ
p a d
t a ɹ
p a ɹ
t a ɹ
a ɹ k
t a ɹ
t a ɹ
a n s
t a ɹ
ɹ a s
t a ɹ
a ɹ a
t a ɹ
t a ɹ
a s a
t a ɹ
dʒ a n
t a ɹ
a n s
t a ɹ
a n z
t a ɹ
a n t
t a ɹ
tʃ a l
t a ɹ
ʃ a l
t a ɹ
n t s
t a ɹ
a n a
t a ɹ
a a n
t a ɹ
ɹ a z
t a ɹ
a ɹ a
t a ɹ
ɹ a z
t a ɹ
a l a
t a ɹ
ɹ a d
t a ɹ
a a s
t a ɹ
t a n
t a ɹ
a s a
t a ɹ
a ɹ a
t a ɹ
a l a
t a ɹ
ʃ a n
t a ɹ
ɹ s a
t a ɹ
s a z
t a ɹ
t a ɹ
t a n
t a ɹ
a ɹ t
t a ɹ
a ɹ t
t a ɹ
ɹ t a
t a ɹ
t a a
t a ɹ
a a z
t a ɹ
t a s
t a ɹ
s a z
t a ɹ
a ɹ a
t a ɹ
a l a
t a ɹ
a l a
t a ɹ
a l a
t a ɹ
ɹ a s
t a ɹ
a tʃ a
t a ɹ
a l a
t a ɹ
ɹ t s
t a ɹ
w a s
t a ɹ
tʃ a ɹ
t a ɹ
a ɹ d
t a ɹ
ɹ a ɹ
t a ɹ
a ɹ z
t a ɹ
a ɹ z
t a ɹ
ɹ a ŋ
t a ɹ
a a s
t a ɹ
a ɹ a
t a ɹ
a m a
t a ɹ
m a z
t a ɹ
a ɹ a
t a s
s k a
t a s
a n a
t a s
n a z
t a s
a n a
t a ʃ
t a s
s k a
t a ʃ
t a ʃ
a b a
t a ʃ
b a z
t a ʃ
a ɹ a
t a ʃ
a k a
t a ʃ
a k a
t a ʃ
t s a
t a ʃ
ʃ a a
t a ʃ
a k a
t a s
a s a
t a s
a s a
t a s
t a s
a s t
t a s
s a z
t a s
s a ŋ
t a s
a d a
t a s
a s t
t a s
s a n
t a s
s t a
t a s
s t a
t a t
t a t
a t a
t a t
t a l
t a t
a l z
t a t
a l d
t a t
l a ŋ
t a t
a a n
t a t
z a m
t a t
a n z
t a t
a t a
t a t
a l d
t a t
l a ŋ
t a t
a l a
t a t
a l z
t a t
a ɹ a
t a t
t a t
t a d
t a t
t a m
t a t
a m z
t a t
a ɹ ɡ
t a t
a t s
t a θ
t a ð
a ɹ a
t a t
a t a
t a t
t a ŋ
t a t
n a z
t a t
m a n
t a t
a t a
t a t
a t s
t a t
t a n
t a t
a ɹ ɡ
t a t
n a m
t a t
h a m
t a t
t a ɹ
t a t
ɹ a ŋ
t a t
t a n
t a t
a t a
t a t
s k a
t a a
ɹ a ɡ
t a tʃ
t a tʃ
b a l
t a tʃ
d a n
t a tʃ
a n z
t a ʃ
t a tʃ
a tʃ t
t a tʃ
tʃ a z
t a tʃ
tʃ a z
t a ʃ
ʃ a t
t a ʃ
ʃ a t
t a tʃ
tʃ a ŋ
t a tʃ
t a n
t a tʃ
t a n
t a tʃ
a tʃ a
t a f
s a s
t a ɡ
a l a
t a ɡ
ɡ a z
t a f
t a f
a f t
t a f
f a n
t a f
a n d
t a f
n a ŋ
t a f
a n z
t a f
f a ɹ
t a f
a s t
t a f
a f a
t a f
n a s
t a f
a f s
t a h
a h a
t a l
l a z
t a p
a p a
t a p
p a n
t a p
a p s
t a ɹ
t a ɹ
a ɹ z
t a ɹ
ŋ ɡ a
t a ɹ
a ɹ d
t a ɹ
ɹ a t
t a ɹ
a t s
t a ɹ
s k a
t a ɹ
a n a
t a ɹ
ɹ a ŋ
t a ɹ
z a m
t a ɹ
a s t
t a ɹ
a s t
t a ɹ
s t s
t a ɹ
s t s
t a ɹ
l a n
t a ɹ
a n t
t a ɹ
n t s
t a ɹ
n t s
t a ɹ
a d a
t a ɹ
ɹ n a
t a ɹ
n a z
t a ɹ
k a t
t a ɹ
a s t
t a ɹ
a ɹ a
t a ɹ
a ɹ z
t a ɹ
a ɹ z
t a ɹ
l a t
t a ɹ
a l a
t a ɹ
v a l
t a s
a s a
t a s
a n t
t a s
s l a
t a s
s a n
t a s
s a d
t a s
a d z
t a s
a s a
t a t
t a t
a n t
t a t
t a d
t a t
t a ŋ
t a t
a t s
t a v
v a a
t a v
a a z
t a v
t a v
v a ɹ
t a v
v a z
t a v
a v a
t a v
v a a
t a v
v j a
t a
t a w
a ɹ d
t a ɹ
a ɹ d
t a w
ɹ d z
t a ɹ
ɹ d z
t a b
b a n
t a b
b a t
t a
t a d
t a a
a a l
t a l
t a a
l a ŋ
t a l
l a ŋ
t a w
w a l
t a a
a l z
t a l
a l z
t a a
a a ɹ
t a a
a ɹ z
t a a
a ɹ d
t a a
ɹ a ŋ
t a ɹ
ɹ a ŋ
t a a
a ɹ z
t a a
a ɹ z
t a a
a ɹ a
t a a
t a a
a a ŋ
t a l
t a l
a l z
t a l
l a ɹ
t a a
a l z
t a n
t a n
a n z
t a n
t a n
n a ɹ
t a n
a ɹ z
t a n
a n z
t a n
h a s
t a n
s a z
t a n
a n a
t a n
n l a
t a n
a n z
t a n
s a l
t a n
s a l
t a n
a n d
t a n
n d z
t a n
f a k
t a n
a n d
t a n
ʃ a p
t a n
a p s
t a n
a p s
t a n
s l a
t a n
m a n
t a n
s a n
t a n
p a l
t a ɹ
a ɹ a
t a z
t a s
s l a
t a s
s a n
t a k
s a k
t a k
a t a
t a k
k a l
t a k
a s t
t a k
s t s
t a k
a dʒ a
t a k
a k s
t a k
s a n
t a k
a n z
t a j
t a j
a j z
t a j
a j a
t a j
a m a
t a j
t a j
a j d
t a j
j a ŋ
t a j
j k a
t a j
k a ɹ
t a j
a ɹ z
t a j
a j a
t a j
a b a
t a j
a d a
t a j
a j a
t a j
a t a
t a j
t a z
t a j
t a z
t a j
a j z
t a j
a j z
t a j
t a ɹ
t a j
a ɹ z
t a z
z a ɹ
t a z
a a ɹ
t a z
a z a
t ɹ a
b a ɹ
t ɹ a
a ɹ t
t ɹ a
a k a
t ɹ a
b w a
t ɹ a
ɹ a k
t ɹ a
ɹ a s
t ɹ a
b a l
t ɹ a
a s t
t ɹ a
s a ɹ
t ɹ a
a ɹ z
t ɹ a
s a z
t ɹ a
s a z
t ɹ a
a s a
t ɹ a
k a a
t ɹ a
a a l
t ɹ a
f a t
t ɹ a
a t s
t ɹ a
s a l
t ɹ a
a k t
t ɹ a
a ɹ ɡ
t ɹ a
a s a
t ɹ a
a s a
t ɹ a
n d a
t ɹ a
d a z
t ɹ a
s a ŋ
t ɹ a
ɹ a k
t ɹ a
a k s
t ɹ a
k a dʒ
t ɹ a
b a l
t ɹ a
a l z
t ɹ a
a k t
t ɹ a
k a ɹ
t ɹ a
a ɹ z
t ɹ a
k a ŋ
t ɹ a
a k s
t ɹ a
s a ɹ
t ɹ a
k a ɹ
t ɹ a
k a ɹ
t ɹ a
k a ɹ
t ɹ a
a k t
t ɹ a
b a l
t ɹ a
b a l
t ɹ a
ʃ a n
t ɹ a
t a ɹ
t ɹ a
a ɹ z
t ɹ a
k t s
t ɹ a
a s a
t ɹ a
s a z
t ɹ a
ɹ a tʃ
t ɹ a
tʃ a k
t ɹ a
b a l
t ɹ a
ɹ a d
t ɹ a
a d z
t ɹ a
b a l
t ɹ a
d a d
t ɹ a
a ɹ k
t ɹ a
ɹ k t
t ɹ a
ɹ k s
t ɹ a
d a f
t ɹ a
a f s
t ɹ a
d a ɹ
t ɹ a
a ɹ z
t ɹ a
a ɹ z
t ɹ a
a ɹ z
t ɹ a
a d z
t ɹ a
m a n
t ɹ a
d a ŋ
t ɹ a
a ŋ z
t ɹ a
a ŋ z
t ɹ a
ʃ a n
t ɹ a
n a l
t ɹ a
a s t
t ɹ a
s t s
t ɹ a
a l a
t ɹ a
a l a
t ɹ a
a n z
t ɹ a
ɡ a ɹ
t ɹ a
ɹ a ɹ
t ɹ a
ɡ a ɹ
t ɹ a
f a k
t ɹ a
a k s
t ɹ a
k a ɹ
t ɹ a
a ɹ z
t ɹ a
k a ŋ
t ɹ a
a ɹ d
t ɹ a
a n t
t ɹ a
n t a
t ɹ a
n t s
t ɹ a
l a a
t ɹ a
a a z
t ɹ a
t a n
t ɹ a
d a z
t ɹ a
a d a
t ɹ a
ɡ a ɹ
t ɹ a
z a ɹ
t ɹ a
dʒ a k
t ɹ a
k l a
t ɹ a
m a k
t ɹ a
ɡ a z
t ɹ a
h a n
t ɹ a
a ɹ n
t ɹ a
ɹ a l
t ɹ a
z a ɹ
t ɹ a
a ɹ z
t ɹ a
a l d
t ɹ a
l a ɹ
t ɹ a
a ɹ z
t ɹ a
h a d
t ɹ a
l a ŋ
t ɹ a
a l z
t ɹ a
a l z
t ɹ a
w a z
t ɹ a
w a z
t ɹ a
ɹ a n
t ɹ a
a n z
t ɹ a
a n a
t ɹ a
b a l
t ɹ a
a n d
t ɹ a
a n a
t ɹ a
n a z
t ɹ a
n a ɹ
t ɹ a
a ɹ z
t ɹ a
n a ŋ
t ɹ a
m a n
t ɹ a
n a ɹ
t ɹ a
a n z
t ɹ a
a p s
t ɹ a
s a ŋ
t ɹ a
t a ɹ
t ɹ a
ɹ a t
